Well,Event,Strain,Hour,Experiment
H2,0,2,24,2
H3,0,2,24,2
H4,0,2,24,2
H5,0,2,24,2
H6,0,2,24,2
H7,0,2,24,2
H8,0,2,24,2
H9,0,2,24,2
H10,0,2,24,2
H11,0,2,24,2
H12,1,2,24,2
A1,0,1,24,P1
A2,0,1,24,P1
A3,0,1,24,P1
A4,0,1,24,P1
A5,0,1,24,P1
A6,0,1,24,P1
A7,0,1,24,P1
A8,0,1,24,P1
A9,0,1,24,P1
A10,0,1,24,P1
A11,0,1,24,P1
A12,0,1,24,P1
B1,0,1,24,P1
B2,0,1,24,P1
B3,0,1,24,P1
B4,0,1,24,P1
B5,0,1,24,P1
B6,0,1,24,P1
B7,0,1,24,P1
B8,0,1,24,P1
B9,0,1,24,P1
B10,0,1,24,P1
B11,0,1,24,P1
B12,0,1,24,P1
C1,0,1,24,P1
C2,0,1,24,P1
C3,0,1,24,P1
C4,0,1,24,P1
C5,0,1,24,P1
C6,0,1,24,P1
C7,0,1,24,P1
C8,0,1,24,P1
C9,0,1,24,P1
C10,0,1,24,P1
C11,0,1,24,P1
C12,0,1,24,P1
D1,0,1,24,P1
D2,0,1,24,P1
D3,0,1,24,P1
D4,0,1,24,P1
D5,0,1,24,P1
D6,0,1,24,P1
D7,0,1,24,P1
D8,0,1,24,P1
D9,0,1,24,P1
D10,0,1,24,P1
D11,0,1,24,P1
D12,0,1,24,P1
E1,1,2,24,P1
E2,1,2,24,P1
E3,1,2,24,P1
E4,1,2,24,P1
E5,1,2,24,P1
E6,1,2,24,P1
E7,1,2,24,P1
E8,1,2,24,P1
E9,1,2,24,P1
E10,1,2,24,P1
E11,1,2,24,P1
E12,0,2,24,P1
F1,1,2,24,P1
F2,1,2,24,P1
F3,1,2,24,P1
F4,1,2,24,P1
F5,1,2,24,P1
F6,1,2,24,P1
F7,1,2,24,P1
F8,0,2,24,P1
F9,1,2,24,P1
F10,1,2,24,P1
F11,1,2,24,P1
F12,0,2,24,P1
G1,1,2,24,P1
G2,1,2,24,P1
G3,1,2,24,P1
G4,1,2,24,P1
G5,0,2,24,P1
G6,1,2,24,P1
G7,1,2,24,P1
G8,1,2,24,P1
G9,1,2,24,P1
G10,1,2,24,P1
G11,1,2,24,P1
G12,1,2,24,P1
H1,1,2,24,P1
H2,1,2,24,P1
H3,1,2,24,P1
H4,1,2,24,P1
H5,1,2,24,P1
H6,1,2,24,P1
H7,1,2,24,P1
H8,1,2,24,P1
H9,1,2,24,P1
H10,1,2,24,P1
H11,1,2,24,P1
H12,1,2,24,P1
A1,0,1,24,P2
A2,0,1,24,P2
A3,0,1,24,P2
A4,0,1,24,P2
A5,0,1,24,P2
A6,0,1,24,P2
A7,0,1,24,P2
A8,0,1,24,P2
A9,0,1,24,P2
A10,0,1,24,P2
A11,0,1,24,P2
A12,0,1,24,P2
B1,0,1,24,P2
B2,0,1,24,P2
B3,0,1,24,P2
B4,0,1,24,P2
B5,0,1,24,P2
B6,0,1,24,P2
B7,0,1,24,P2
B8,0,1,24,P2
B9,0,1,24,P2
B10,0,1,24,P2
B11,0,1,24,P2
B12,0,1,24,P2
C1,0,1,24,P2
C2,0,1,24,P2
C3,0,1,24,P2
C4,0,1,24,P2
C5,0,1,24,P2
C6,0,1,24,P2
C7,0,1,24,P2
C8,0,1,24,P2
C9,0,1,24,P2
C10,0,1,24,P2
C11,0,1,24,P2
C12,0,1,24,P2
D1,0,1,24,P2
D2,0,1,24,P2
D3,0,1,24,P2
D4,0,1,24,P2
D5,0,1,24,P2
D6,0,1,24,P2
D7,0,1,24,P2
D8,0,1,24,P2
D9,0,1,24,P2
D10,0,1,24,P2
D11,0,1,24,P2
D12,0,1,24,P2
E1,1,2,24,P2
E2,1,2,24,P2
E3,1,2,24,P2
E4,1,2,24,P2
E5,1,2,24,P2
E6,1,2,24,P2
E7,1,2,24,P2
E8,1,2,24,P2
E9,1,2,24,P2
E10,1,2,24,P2
E11,1,2,24,P2
E12,1,2,24,P2
F1,1,2,24,P2
F2,1,2,24,P2
F3,1,2,24,P2
F4,1,2,24,P2
F5,1,2,24,P2
F6,1,2,24,P2
F7,1,2,24,P2
F8,1,2,24,P2
F9,1,2,24,P2
F10,1,2,24,P2
F11,1,2,24,P2
F12,1,2,24,P2
G1,1,2,24,P2
G2,1,2,24,P2
G3,1,2,24,P2
G4,1,2,24,P2
G5,1,2,24,P2
G6,1,2,24,P2
G7,1,2,24,P2
G8,1,2,24,P2
G9,1,2,24,P2
G10,1,2,24,P2
G11,1,2,24,P2
G12,1,2,24,P2
H1,1,2,24,P2
H2,1,2,24,P2
H3,1,2,24,P2
H4,1,2,24,P2
H5,1,2,24,P2
H6,1,2,24,P2
H7,1,2,24,P2
H8,1,2,24,P2
H9,1,2,24,P2
H10,1,2,24,P2
H11,1,2,24,P2
H12,1,2,24,P2
A1,0,1,24,P3
A2,0,1,24,P3
A3,0,1,24,P3
A4,0,1,24,P3
A5,0,1,24,P3
A6,0,1,24,P3
A7,0,1,24,P3
A8,0,1,24,P3
A9,0,1,24,P3
A10,0,1,24,P3
A11,0,1,24,P3
A12,0,1,24,P3
B1,0,1,24,P3
B2,0,1,24,P3
B3,0,1,24,P3
B4,0,1,24,P3
B5,0,1,24,P3
B6,0,1,24,P3
B7,0,1,24,P3
B8,0,1,24,P3
B9,0,1,24,P3
B10,0,1,24,P3
B11,0,1,24,P3
B12,0,1,24,P3
C1,0,1,24,P3
C2,0,1,24,P3
C3,0,1,24,P3
C4,0,1,24,P3
C5,0,1,24,P3
C6,0,1,24,P3
C7,0,1,24,P3
C8,0,1,24,P3
C9,0,1,24,P3
C10,0,1,24,P3
C11,0,1,24,P3
C12,0,1,24,P3
D1,0,1,24,P3
D2,0,1,24,P3
D3,0,1,24,P3
D4,0,1,24,P3
D5,0,1,24,P3
D6,0,1,24,P3
D7,0,1,24,P3
D8,0,1,24,P3
D9,0,1,24,P3
D10,0,1,24,P3
D11,0,1,24,P3
D12,0,1,24,P3
E1,1,2,24,P3
E2,1,2,24,P3
E3,0,2,24,P3
E4,0,2,24,P3
E5,0,2,24,P3
E6,0,2,24,P3
E7,0,2,24,P3
E8,0,2,24,P3
E9,0,2,24,P3
E10,0,2,24,P3
E11,0,2,24,P3
E12,1,2,24,P3
F1,1,2,24,P3
F2,1,2,24,P3
F3,0,2,24,P3
F4,0,2,24,P3
F5,0,2,24,P3
F6,0,2,24,P3
F7,0,2,24,P3
F8,0,2,24,P3
F9,0,2,24,P3
F10,0,2,24,P3
F11,1,2,24,P3
F12,1,2,24,P3
G1,1,2,24,P3
G2,1,2,24,P3
G3,1,2,24,P3
G4,0,2,24,P3
G5,0,2,24,P3
G6,0,2,24,P3
G7,0,2,24,P3
G8,0,2,24,P3
G9,1,2,24,P3
G10,1,2,24,P3
G11,1,2,24,P3
G12,1,2,24,P3
H1,1,2,24,P3
H2,1,2,24,P3
H3,1,2,24,P3
H4,1,2,24,P3
H5,1,2,24,P3
H6,1,2,24,P3
H7,1,2,24,P3
H8,1,2,24,P3
H9,1,2,24,P3
H10,1,2,24,P3
H11,1,2,24,P3
H12,1,2,24,P3
A1,0,1,24,P4
A2,0,1,24,P4
A3,0,1,24,P4
A4,0,1,24,P4
A5,0,1,24,P4
A6,0,1,24,P4
A7,0,1,24,P4
A8,0,1,24,P4
A9,0,1,24,P4
A10,0,1,24,P4
A11,0,1,24,P4
A12,0,1,24,P4
B1,0,1,24,P4
B2,0,1,24,P4
B3,0,1,24,P4
B4,0,1,24,P4
B5,0,1,24,P4
B6,0,1,24,P4
B7,0,1,24,P4
B8,0,1,24,P4
B9,0,1,24,P4
B10,0,1,24,P4
B11,0,1,24,P4
B12,0,1,24,P4
C1,0,1,24,P4
C2,0,1,24,P4
C3,0,1,24,P4
C4,0,1,24,P4
C5,0,1,24,P4
C6,0,1,24,P4
C7,0,1,24,P4
C8,0,1,24,P4
C9,0,1,24,P4
C10,0,1,24,P4
C11,0,1,24,P4
C12,0,1,24,P4
D1,0,1,24,P4
D2,0,1,24,P4
D3,0,1,24,P4
D4,0,1,24,P4
D5,0,1,24,P4
D6,0,1,24,P4
D7,0,1,24,P4
D8,0,1,24,P4
D9,0,1,24,P4
D10,0,1,24,P4
D11,0,1,24,P4
D12,0,1,24,P4
E1,1,2,24,P4
E2,1,2,24,P4
E3,1,2,24,P4
E4,1,2,24,P4
E5,1,2,24,P4
E6,1,2,24,P4
E7,1,2,24,P4
E8,1,2,24,P4
E9,1,2,24,P4
E10,1,2,24,P4
E11,1,2,24,P4
E12,1,2,24,P4
F1,1,2,24,P4
F2,1,2,24,P4
F3,1,2,24,P4
F4,1,2,24,P4
F5,1,2,24,P4
F6,1,2,24,P4
F7,1,2,24,P4
F8,1,2,24,P4
F9,1,2,24,P4
F10,1,2,24,P4
F11,1,2,24,P4
F12,1,2,24,P4
G1,1,2,24,P4
G2,1,2,24,P4
G3,1,2,24,P4
G4,1,2,24,P4
G5,1,2,24,P4
G6,1,2,24,P4
G7,1,2,24,P4
G8,1,2,24,P4
G9,1,2,24,P4
G10,1,2,24,P4
G11,1,2,24,P4
G12,1,2,24,P4
H1,1,2,24,P4
H2,1,2,24,P4
H3,1,2,24,P4
H4,1,2,24,P4
H5,1,2,24,P4
H6,1,2,24,P4
H7,1,2,24,P4
H8,1,2,24,P4
H9,1,2,24,P4
H10,1,2,24,P4
H11,1,2,24,P4
H12,1,2,24,P4
