Well,Event,Strain,Hour,Experiment
A1,0,1,5,2
A2,0,1,5,2
A3,0,1,5,2
A4,0,1,5,2
A5,0,1,5,2
A6,0,1,5,2
A7,0,1,5,2
A8,0,1,5,2
A9,0,1,5,2
A10,0,1,5,2
A11,0,1,5,2
A12,0,1,5,2
B1,0,1,5,2
B2,0,1,5,2
B3,0,1,5,2
B4,0,1,5,2
B5,0,1,5,2
B6,0,1,5,2
B7,0,1,5,2
B8,0,1,5,2
B9,0,1,5,2
B10,0,1,5,2
B11,0,1,5,2
B12,0,1,5,2
C1,0,1,24,2
C2,0,1,24,2
C3,0,1,24,2
C4,0,1,24,2
C5,0,1,24,2
C6,0,1,24,2
C7,0,1,24,2
C8,0,1,24,2
C9,0,1,24,2
C10,0,1,24,2
C11,0,1,24,2
C12,0,1,24,2
D1,0,1,31,2
D2,0,1,31,2
D3,0,1,31,2
D4,0,1,31,2
D5,0,1,31,2
D6,0,1,31,2
D7,0,1,31,2
D8,0,1,31,2
D9,0,1,31,2
D10,0,1,31,2
D11,0,1,31,2
D12,0,1,31,2
E1,1,2,5,2
E2,0,2,5,2
E3,0,2,5,2
E4,0,2,5,2
E5,0,2,5,2
E6,0,2,5,2
E7,0,2,5,2
E8,0,2,5,2
E9,0,2,5,2
E10,0,2,5,2
E11,1,2,5,2
E12,0,2,5,2
F1,0,2,5,2
F2,0,2,5,2
F3,0,2,5,2
F4,0,2,5,2
F5,0,2,5,2
F6,0,2,5,2
F7,0,2,5,2
F8,0,2,5,2
F9,0,2,5,2
F10,0,2,5,2
F11,0,2,5,2
F12,0,2,5,2
G1,1,2,31,2
G2,0,2,31,2
G3,0,2,31,2
G4,0,2,31,2
G5,0,2,31,2
G6,0,2,31,2
G7,0,2,31,2
G8,0,2,31,2
G9,0,2,31,2
G10,0,2,31,2
G11,0,2,31,2
G12,0,2,31,2
H1,1,2,24,2
H2,0,2,24,2
H3,0,2,24,2
H4,0,2,24,2
H5,0,2,24,2
H6,0,2,24,2
H7,0,2,24,2
H8,0,2,24,2
H9,0,2,24,2
H10,0,2,24,2
H11,0,2,24,2
H12,1,2,24,2
