Group	Hours	Days	Event 	Treatment	InPop
1	936	39	1	2	3
1	936	39	1	2	3
1	936	39	1	2	3
1	936	39	1	2	3
1	936	39	1	2	3
1	936	39	1	2	3
1	936	39	1	2	3
1	936	39	1	2	3
1	936	39	1	2	3
1	936	39	1	2	3
1	936	39	1	2	3
1	936	39	1	2	3
2	936	39	1	2	3
2	936	39	1	2	3
2	936	39	1	2	3
2	936	39	1	2	3
2	936	39	1	2	3
2	936	39	0	2	3
2	936	39	0	2	3
2	936	39	0	2	3
2	936	39	1	2	3
2	936	39	1	2	3
2	936	39	1	2	3
2	936	39	1	2	3
1	984	41	1	2	3
1	984	41	1	2	3
1	984	41	1	2	3
1	984	41	1	2	3
1	984	41	1	2	3
1	984	41	1	2	3
1	984	41	1	2	3
1	984	41	1	2	3
1	984	41	1	2	3
1	984	41	1	2	3
1	984	41	1	2	3
1	984	41	1	2	3
2	984	41	1	2	3
2	984	41	1	2	3
2	984	41	1	2	3
2	984	41	1	2	3
2	984	41	1	2	3
2	984	41	1	2	3
2	984	41	1	2	3
2	984	41	1	2	3
2	984	41	1	2	3
2	984	41	1	2	3
2	984	41	1	2	3
2	984	41	1	2	3
1	1104	46	1	2	3
1	1104	46	1	2	3
1	1104	46	1	2	3
1	1104	46	1	2	3
1	1104	46	1	2	3
1	1104	46	1	2	3
1	1104	46	1	2	3
1	1104	46	1	2	3
1	1104	46	1	2	3
1	1104	46	1	2	3
1	1104	46	1	2	3
1	1104	46	1	2	3
2	1104	46	1	2	3
2	1104	46	1	2	3
2	1104	46	1	2	3
2	1104	46	1	2	3
2	1104	46	1	2	3
2	1104	46	1	2	3
2	1104	46	1	2	3
2	1104	46	1	2	3
2	1104	46	1	2	3
2	1104	46	1	2	3
2	1104	46	1	2	3
2	1104	46	1	2	3
1	1152	48	1	2	3
1	1152	48	1	2	3
1	1152	48	1	2	3
1	1152	48	1	2	3
1	1152	48	1	2	3
1	1152	48	1	2	3
1	1152	48	1	2	3
1	1152	48	1	2	3
1	1152	48	1	2	3
1	1152	48	1	2	3
1	1152	48	1	2	3
1	1152	48	1	2	3
2	1152	48	1	2	3
2	1152	48	1	2	3
2	1152	48	1	2	3
2	1152	48	1	2	3
2	1152	48	1	2	3
2	1152	48	1	2	3
2	1152	48	1	2	3
2	1152	48	1	2	3
2	1152	48	1	2	3
2	1152	48	1	2	3
2	1152	48	1	2	3
2	1152	48	1	2	3
