Day1,Day3,Day5,Day7,Day8,Day11,Day12,Day13
0.052,0.06,0.182,0.656,0.186,0.488,1.77,0.488
0.074,0.061,0.381,1.121,0.205,1.426,1.234,1.426
0.065,0.089,0.284,2.02,0.278,0.278,1.891,0.278
0.068,0.064,0.757,0.786,0.177,0.485,1.469,0.485
