Day1,Day3,Day5,Day7,Day8,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18
0.075,0.187,0.617,0.372,0.174,0.386,0.554,1.156,2.911,2.119,0.626,0.873,0.403,2.394
0.082,0.243,0.747,0.327,0.183,0.47,0.749,1.661,1.169,1.585,0.752,0.484,0.451,2.189
0.062,0.192,0.563,0.514,0.196,0.309,0.485,1.41,2.16,1.404,1.396,0.494,0.709,0.801
0.084,0.279,0.66,0.241,0.247,0.499,0.8,2.618,2.938,1.046,0.931,0.502,0.417,2.782
