Day1,Day3,Day5,Day7,Day8,Day11,Day12,Day13
0.08,0.016,0,0.048,0,-0.024,-0.023,0
0.038,0.012,-0.014,0.883,0.192,1.565,0.221,0.991
0.071,0.016,-0.037,0.942,0.24,1.272,0.315,0.904
0.049,0.03,-0.029,0.058,0.028,-0.09,-0.015,0
