Day1,Day3,Day5,Day7,Day8,Day11,Day12,Day13
0.054,2.216,0.419,1.122,0.914,1.019,1.979,0.375
0.05,0.049,1.43,0.68,0.354,2.065,0.63,1.266
0.052,0.421,0.436,2.147,0.443,1.096,0.326,1.561
0.05,0.021,0.019,0.076,0.3,1.412,2.12,0.446
