transfer,well ,volume_ul,dilution ,lys_r1,lys_r2,lys_r3,lys_r4,his_r1,his_r2,his_r3,his_r3,his_r4
2,B5,10,3,,,,,,,,,
2,B5,10,4,,,,,,,,,
2,B5,10,5,11,9,,,14,11,,,
2,B5,10,6,4,4,,,7,4,,,
2,B6,10,3,,,,,,,,,
2,B6,10,4,26,21,,,5,2,,,
2,B6,10,5,8,6,,,4,,,,
2,B6,10,6,1,4,,,,,,,
2,C1,10,3,,,,,,,,,
2,C1,10,4,,,,,12,8,,,
2,C1,10,5,32,39,,,2,1,,,
2,C1,10,6,5,3,,,,,,,
2,C2,10,3,,,,,,,,,
2,C2,10,4,39,30,,,6,5,,,
2,C2,10,5,21,18,,,3,3,,,
2,C2,10,6,9,1,,,,,,,
2,C3,10,3,,,,,,,,,
2,C3,10,4,24,43,,,3,8,,,
2,C3,10,5,38,37,,,,,,,
2,C3,10,6,20,10,,,,,,,
2,C4,10,3,,,,,,,,,
2,C4,10,4,16,27,,,22,20,,,
2,C4,10,5,16,21,,,16,28,,,
2,C4,10,6,9,,,,5,2,,,
2,C5,10,3,,,,,,,,,
2,C5,10,4,23,26,,,3,2,,,
2,C5,10,5,6,9,,,1,,,,
2,C5,10,6,2,4,,,1,,,,
2,C6,10,3,,,,,,,,,
2,C6,10,4,52,51,,,8,10,,,
2,C6,10,5,12,11,,,,,,,
2,C6,10,6,3,1,,,,,,,
2,D1,10,3,,,,,0,,,,
2,D1,10,4,,,,,0,,,,
2,D1,10,5,35,41,,,0,,,,
2,D1,10,6,3,5,,,0,,,,
2,D2,10,3,,,,,0,,,,
2,D2,10,4,,,,,0,,,,
2,D2,10,5,22,25,,,0,,,,
2,D2,10,6,6,1,,,0,,,,
2,D3,10,3,0,,,,,,,,
2,D3,10,4,0,,,,,,,,
2,D3,10,5,0,,,,,,,,
2,D3,10,6,0,,,,7,3,,,
2,D4,10,3,0,,,,,,,,
2,D4,10,4,0,,,,,,,,
2,D4,10,5,0,,,,58,52,,,
2,D4,10,6,0,,,,4,5,,,
2,D5,10,3,0,,,,,,,,
2,D5,10,4,0,,,,67,66,,,
2,D5,10,5,0,,,,18,13,,,
2,D5,10,6,0,,,,5,3,,,
2,D6,10,3,0,,,,,,,,
2,D6,10,4,0,,,,44,44,,,
2,D6,10,5,0,,,,10,16,,,
2,D6,10,6,0,,,,1,2,,,
3,A1,10,3,,,,,5,,,,
3,A1,10,4,37,40,23,,1,1,5,3,
3,A1,10,5,11,90,,,1,1,,,
3,A1,10,6,,,,,,,,,
3,A2,10,3,,,,,,,,,
3,A2,10,4,36,34,25,28,8,16,17,11,
3,A2,10,5,12,12,14,,1,6,2,3,
3,A2,10,6,,,,,,,,,
3,A3,10,3,,,,,18,,,,
3,A3,10,4,30,39,41,36,1,4,1,,
3,A3,10,5,4,41,,,1,,,,
3,A3,10,6,,,,,,,,,
3,A4,10,3,,,,,4,,,,
3,A4,10,4,28,31,10,9,10,7,2,4,
3,A4,10,5,5,9,8,3,1,3,,,
3,A4,10,6,,,,,,,,,
3,A5,10,3,,,,,,,,,
3,A5,10,4,30,44,18,33,5,5,6,16,
3,A5,10,5,7,8,10,4,2,4,,,
3,A5,10,6,,,,,,,,,
3,A6,10,3,,,,,,,,,
3,A6,10,4,16,30,70,,7,1,4,,
3,A6,10,5,4,6,12,,1,2,,,
3,A6,10,6,,,,,,,,,
3,B1,10,3,,,,,33,,,,
3,B1,10,4,26,30,37,43,6,8,11,10,
3,B1,10,5,6,3,4,1,,,,,
3,B1,10,6,,,,,,,,,
3,B2,10,3,,,,,22,,,,
3,B2,10,4,41,43,37,47,2,4,10,6,
3,B2,10,5,8,3,3,1,1,,,,
3,B2,10,6,,,,,,,,,
3,B3,10,3,,,,,16,,,,
3,B3,10,4,17,17,17,19,2,2,2,3,
3,B3,10,5,1,3,1,,1,,,,
3,B3,10,6,,,,,,,,,
3,B4,10,3,,,,,37,,,,
