transfer,well ,volume_ul,dilution ,lys_r1,lys_r2,lys_r3,lys_r4,his_r1,his_r2,his_r3,his_r3,his_r4
8,A5,10,4,114,98,,,,,,,
8,A5,10,5,60,82,16,15,13,30,21,16,
8,A5,10,6,15,5,,,32,,,,
8,A6,10,3,,,,,,,,,
8,A6,10,4,84,87,,,,,,,
8,A6,10,5,9,23,17,,,,,,
8,A6,10,6,7,7,7,,2,2,,,
8,B1,10,3,,,,,,,,,
8,B1,10,4,49,57,,,,,,,
8,B1,10,5,19,23,,,46,52,49,36,
8,B1,10,6,3,4,,,4,17,,,
8,B2,10,3,,,,,,,,,
8,B2,10,4,69,51,,,,,,,
8,B2,10,5,18,13,,,36,,,,
8,B2,10,6,4,,,,2,10,,,
8,B3,10,3,,,,,,,,,
8,B3,10,4,,,,,,,,,
8,B3,10,5,56,58,,,51,,,,
8,B3,10,6,13,,,,9,1,,,
8,B4,10,3,,,,,,,,,
8,B4,10,4,,,,,,,,,
8,B4,10,5,11,7,,,50,37,34,29,
8,B4,10,6,2,,,,1,12,,,
8,B5,10,3,,,,,,,,,
8,B5,10,4,112,,,,,,,,
8,B5,10,5,13,14,,,52,,,,
8,B5,10,6,13,,,,3,14,,,
8,B6,10,3,,,,,,,,,
8,B6,10,4,78,73,,,,,,,
8,B6,10,5,15,13,,,60,38,,,
8,B6,10,6,13,,,,7,30,,,
8,C1,10,3,,,,,,,,,
8,C1,10,4,49,48,47,,,,,,
8,C1,10,5,13,18,,,20,27,22,19,
8,C1,10,6,,,,,15,8,,,
8,C2,10,3,,,,,,,,,
8,C2,10,4,,,,,,,,,
8,C2,10,5,34,36,,,18,17,,,
8,C2,10,6,63,66,,,8,6,,,
8,C3,10,3,,,,,,,,,
8,C3,10,4,,,,,23,24,,,
8,C3,10,5,,,,,5,7,13,14,
8,C3,10,6,,,,,1,,,,
8,C4,10,3,,,,,,,,,
8,C4,10,4,,,,,,,,,
8,C4,10,5,34,21,,,23,,,,
8,C4,10,6,3,5,,,7,17,,,
8,C5,10,3,,,,,,,,,
8,C5,10,4,,,,,,,,,
8,C5,10,5,28,25,56,41,22,21,,,
8,C5,10,6,3,5,,,5,,,,
8,C6,10,3,,,,,,,,,
8,C6,10,4,,,,,,,,,
8,C6,10,5,40,24,39,35,6,10,21,14,
8,C6,10,6,2,6,,,2,2,,,
8,D1,10,3,,,,,,,,,
8,D1,10,4,,,,,,,,,
8,D1,10,5,72,60,57,54,,,,,
8,D1,10,6,37,,,,14,25,,,
8,D2,10,3,,,,,,,,,
8,D2,10,4,,,,,,,,,
8,D2,10,5,24,21,42,49,9,18,,,
8,D2,10,6,15,,,,37,11,,,
8,D3,10,3,,,,,,,,,
8,D3,10,4,,,,,,,,,
8,D3,10,5,34,39,37,38,32,38,,,
8,D3,10,6,7,8,,,10,,,,
8,D4,10,3,,,,,,,,,
8,D4,10,4,,,,,,,,,
8,D4,10,5,50,25,40,44,16,19,,,
8,D4,10,6,16,,,,5,,,,
8,D5,10,3,,,,,,,,,
8,D5,10,4,,,,,,,,,
8,D5,10,5,59,25,25,30,30,20,,,
8,D5,10,6,4,4,,,10,12,,,
8,D6,10,3,,,,,,,,,
8,D6,10,4,,,,,,,,,
8,D6,10,5,45,30,43,38,33,37,18,,
8,D6,10,6,6,9,,,7,4,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
